Name,Family,Series,# of CPU Cores,# of Threads,Base Clock,Max. Boost Clock,L3 Cache,Default TDP,CPU Socket,Graphics Model,Graphics Core Count,Launch Date,manufacturer
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,3.4 GHz,Up to 5 GHz,16 MB,35W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,3.5 GHz,Up to 5 GHz,16 MB,65W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,4,8,3.5 GHz,Up to 4.9 GHz,8 MB,35W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,4,8,3.4 GHz,Up to 4.9 GHz,8 MB,65W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen,Ryzen 8000 Series,16,32,2.5 GHz,Up to 5.4 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,4/23/25,AMD
,Ryzen,Ryzen 8000 Series,8,16,4 GHz,Up to 5.2 GHz,16 MB,45W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 8000 Series,16,32,2.4 GHz,Up to 5.3 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,4/23/25,AMD
,Ryzen,Ryzen 8000 Series,8,16,3.8 GHz,Up to 5.1 GHz,16 MB,45W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,12/06/2023,AMD
,Ryzen,Ryzen 8000 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 8000 Series,12,24,2.9 GHz,Up to 5.1 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,4/23/25,AMD
,Ryzen,Ryzen 8000 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 8000 Series,8,16,3.6 GHz,Up to 5.1 GHz,32 MB,55W,FL1,AMD Radeon™ 610M,2,4/23/25,AMD
,Ryzen,Ryzen 8000 Series,8,16,4.2 GHz,Up to 5.1 GHz,16 MB,65W,AM5,AMD Radeon™ 780M,12,1/31/2024,AMD
,Ryzen,Ryzen 8000 Series,8,16,4.1 GHz,Up to 5 GHz,16 MB,65W,AM5,Discrete Graphics Card Required,,04/01/2024,AMD
,Ryzen,Ryzen 8000 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,45W,"FP7 , FP7r2 , FP8",AMD Radeon™ 760M,8,,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 760M,8,,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 760M,8,,AMD
,Ryzen,Ryzen 8000 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,65W,AM5,AMD Radeon™ 760M,8,1/31/2024,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 740M,4,,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.4 GHz,Up to 5 GHz,16 MB,35W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.5 GHz,Up to 5 GHz,16 MB,65W,AM5,AMD Radeon™ 740M,4,1/31/2024,AMD
,Ryzen,Ryzen 8000 Series,4,8,3 GHz,Up to 4.7 GHz,8 MB,28W,"FP7 , FP7r2",AMD Radeon™ 740M,4,,AMD
,Ryzen,Ryzen 8000 Series,4,8,3.5 GHz,Up to 4.9 GHz,8 MB,35W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen,Ryzen 8000 Series,6,12,4.2 GHz,Up to 4.7 GHz,16 MB,65W,AM5,Discrete Graphics Card Required,,04/01/2024,AMD
,Ryzen,Ryzen 8000 Series,4,8,3.4 GHz,Up to 4.9 GHz,8 MB,65W,AM5,AMD Radeon™ 740M,4,1/31/2024,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 7000 WX-Series,96,192,2.5 GHz,Up to 5.1 GHz,384 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 7000 WX-Series,64,128,3.2 GHz,Up to 5.1 GHz,256 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 7000 WX-Series,32,64,4 GHz,Up to 5.3 GHz,128 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 7000 WX-Series,24,48,4.2 GHz,Up to 5.3 GHz,128 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 7000 WX-Series,16,32,4.5 GHz,Up to 5.3 GHz,64 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen Threadripper PRO,Ryzen Threadripper PRO 7000 WX-Series,12,24,4.7 GHz,Up to 5.3 GHz,64 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen Threadripper,Ryzen Threadripper 7000 Series,64,128,3.2 GHz,Up to 5.1 GHz,256 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen Threadripper,Ryzen Threadripper 7000 Series,32,64,4 GHz,Up to 5.3 GHz,128 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen Threadripper,Ryzen Threadripper 7000 Series,24,48,4.2 GHz,Up to 5.3 GHz,128 MB,350W,sTR5,Discrete Graphics Card Required,,10/19/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,12,24,3.7 GHz,Up to 5.4 GHz,64 MB,65W,AM5,AMD Radeon™ Graphics,2,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,8,16,4 GHz,Up to 5.2 GHz,16 MB,,"FP7 , FP7r2",AMD Radeon™ 780M,12,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,,"FP7 , FP7r2",AMD Radeon™ 780M,12,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,8,16,3.8 GHz,Up to 5.1 GHz,16 MB,,"FP7 , FP7r2",AMD Radeon™ 780M,12,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,8,16,3.8 GHz,Up to 5.3 GHz,32 MB,65W,AM5,AMD Radeon™ Graphics,2,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,8,16,2.7 GHz,Up to 4.75 GHz,16 MB,,,AMD Radeon™ 680M,12,9/30/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,8,16,2 GHz,Up to 4.5 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,8,01/04/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,6,12,3.8 GHz,Up to 5.1 GHz,32 MB,65W,AM5,AMD Radeon™ Graphics,2,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,,"FP7 , FP7r2",AMD Radeon™ 760M,8,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,,"FP7 , FP7r2",AMD Radeon™ 760M,8,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,,"FP7 , FP7r2",AMD Radeon™ 740M,4,11/02/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,,"FP7 , FP7r2",AMD Radeon™ 740M,4,06/13/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,6,12,2.9 GHz,Up to 4.55 GHz,16 MB,,,AMD Radeon™ 660M,6,9/30/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,6,12,2 GHz,Up to 4.5 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,7,01/04/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,4,8,3 GHz,Up to 4.3 GHz,,,,AMD Radeon™ 660M,4,9/30/2023,AMD
,Ryzen PRO,Ryzen PRO 7000 Series,4,8,2.3 GHz,Up to 4.3 GHz,8 MB,15W,FP6,AMD Radeon™ Graphics,6,01/04/2023,AMD
,Ryzen,Ryzen 7000 Series,16,32,4.2 GHz,Up to 5.7 GHz,128 MB,120W,AM5,AMD Radeon™ Graphics,2,02/28/2023,AMD
,Ryzen,Ryzen 7000 Series,16,32,4.5 GHz,Up to 5.7 GHz,64 MB,170W,AM5,AMD Radeon™ Graphics,2,09/27/2022,AMD
,Ryzen,Ryzen 7000 Series,16,32,2.3 GHz,Up to 5.4 GHz,128 MB,55W,FL1,AMD Radeon™ 610M,2,07/27/2023,AMD
,Ryzen,Ryzen 7000 Series,16,32,2.5 GHz,Up to 5.4 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,02/28/2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,4 GHz,Up to 5.2 GHz,16 MB,35-54W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,04/30/2023,AMD
,Ryzen,Ryzen 7000 Series,16,32,2.4 GHz,Up to 5.2 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,1/17/2024,AMD
,Ryzen,Ryzen 7000 Series,12,24,4.4 GHz,Up to 5.6 GHz,128 MB,120W,AM5,AMD Radeon™ Graphics,2,02/28/2023,AMD
,Ryzen,Ryzen 7000 Series,12,24,4.7 GHz,Up to 5.6 GHz,64 MB,170W,AM5,AMD Radeon™ Graphics,2,09/27/2022,AMD
,Ryzen,Ryzen 7000 Series,12,24,3.7 GHz,Up to 5.4 GHz,64 MB,65W,AM5,AMD Radeon™ Graphics,2,01/14/2023,AMD
,Ryzen,Ryzen 7000 Series,12,24,3 GHz,Up to 5.2 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,02/28/2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,05/03/2023,AMD
,Ryzen,Ryzen 7000 Series,12,24,2.9 GHz,Up to 5.1 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,1/17/2024,AMD
,Ryzen,Ryzen 7000 Series,8,16,3.8 GHz,Up to 5.1 GHz,16 MB,35-54W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,Q4 2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,4.2 GHz,Up to 5 GHz,96 MB,120W,AM5,AMD Radeon™ Graphics,2,04/06/2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,3.6 GHz,Up to 5.1 GHz,32 MB,55W,FL1,AMD Radeon™ 610M,2,02/28/2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,2.7 GHz,Up to 4.7 GHz,16 MB,,FP7,AMD Radeon™ 680M,12,01/04/2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,2.7 GHz,Up to 4.75 GHz,16 MB,28W,FP7,AMD Radeon™ 680M,12,Q1 2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,3.2 GHz,Up to 4.75 GHz,16 MB,35-54W,FP7,AMD Radeon™ 680M,12,Q2 2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,2 GHz,Up to 4.5 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,8,Q1 2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,4.5 GHz,Up to 5.4 GHz,32 MB,105W,AM5,AMD Radeon™ Graphics,2,09/27/2022,AMD
,Ryzen,Ryzen 7000 Series,8,16,3.8 GHz,Up to 5.3 GHz,32 MB,65W,AM5,AMD Radeon™ Graphics,2,01/14/2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,4 GHz,Up to 5 GHz,32 MB,55W,FL1,AMD Radeon™ 610M,2,02/28/2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 760M,8,05/03/2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,35-54W,"FP7 , FP7r2 , FP8",AMD Radeon™ 760M,8,04/30/2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,4.1 GHz,Up to 4.7 GHz,96 MB,65W,AM5,AMD Radeon™ Graphics,2,9/5/2024,AMD
,Ryzen,Ryzen 7000 Series,6,12,4.7 GHz,Up to 5.3 GHz,32 MB,105W,AM5,AMD Radeon™ Graphics,2,09/27/2022,AMD
,Ryzen,Ryzen 7000 Series,6,12,3.8 GHz,Up to 5.1 GHz,32 MB,65W,AM5,AMD Radeon™ Graphics,2,01/14/2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 740M,4,11/02/2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 740M,4,05/03/2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,2.9 GHz,Up to 4.55 GHz,16 MB,28W,FP7,AMD Radeon™ 660M,6,Q1 2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,3.3 GHz,Up to 4.55 GHz,16 MB,35-54W,FP7,AMD Radeon™ 660M,6,Q2 2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,3.3 GHz,Up to 4.4 GHz,16 MB,35-54W,FP7,AMD Radeon™ 660M,6,Q3 2024,AMD
,Ryzen,Ryzen 7000 Series,6,12,2 GHz,Up to 4.5 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,7,Q1 2023,AMD
,Ryzen,Ryzen 7000 Series,4,8,2.8 GHz,Up to 4.3 GHz,4 MB,15W,,AMD Radeon™ 610M,2,09/20/2022,AMD
,Ryzen,Ryzen 7000 Series,4,8,2.8 GHz,Up to 4.3 GHz,4 MB,15W,FT6,AMD Radeon™ 610M,2,05/23/2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,3.7 GHz,Up to 5 GHz,32 MB,65W,AM5,Discrete Graphics Card Required,,07/22/2023,AMD
,Ryzen,Ryzen 7000 Series,4,8,3 GHz,Up to 4.7 GHz,8 MB,28W,"FP7 , FP7r2",AMD Radeon™ 740M,4,05/03/2023,AMD
,Ryzen,Ryzen 7000 Series,8,16,3.1 GHz,Up to 4.5 GHz,16 MB,45W,FP7r2,Discrete Graphics Card Required,,,AMD
,Ryzen,Ryzen 7000 Series,6,12,2.3 GHz,Up to 4.3 GHz,16 MB,15W,FP6,AMD Radeon™ Graphics,7,Q4 2023,AMD
,Ryzen,Ryzen 7000 Series,6,12,3.7 GHz,Up to 4.7 GHz,32 MB,65W,AM5,Discrete Graphics Card Required,,1/9/2025,AMD
,Ryzen,Ryzen 7000 Series,4,8,3 GHz,Up to 4.3 GHz,8 MB,28W,FP7,AMD Radeon™ 660M,4,Q1 2023,AMD
,Ryzen PRO,Ryzen AI Max PRO 300 Series,16,32,3 GHz,Up to 5.1 GHz,64 MB,55W,FP11,Radeon 8060S Graphics,40,,AMD
,Ryzen PRO,Ryzen AI Max PRO 300 Series,12,24,3.2 GHz,Up to 5 GHz,64 MB,55W,FP11,Radeon 8050S Graphics,32,,AMD
,Ryzen PRO,Ryzen AI Max PRO 300 Series,8,16,3.6 GHz,Up to 5 GHz,32 MB,55W,FP11,Radeon 8050S Graphics,32,,AMD
,Ryzen PRO,Ryzen AI Max PRO 300 Series,6,12,3.6 GHz,Up to 4.9 GHz,16 MB,55W,FP11,Radeon 8040S Graphics,16,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,12,24,2 GHz,Up to 5.1 GHz,24 MB,28W,FP8,AMD Radeon™ 890M,16,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,12,24,2 GHz,Up to 5.1 GHz,24 MB,28W,FP8,AMD Radeon™ 890M,16,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,8,16,2 GHz,Up to 5 GHz,16 MB,28W,FP8,AMD Radeon™ 880M,12,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,8,16,2 GHz,Up to 5 GHz,16 MB,28W,FP8,AMD Radeon™ 860M,8,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,6,12,2 GHz,Up to 4.8 GHz,16 MB,28W,FP8,AMD Radeon™ 840M,4,,AMD
,Ryzen,Ryzen AI Max 300 Series,16,32,3 GHz,Up to 5.1 GHz,64 MB,55W,FP11,Radeon 8060S Graphics,40,,AMD
,Ryzen,Ryzen AI Max 300 Series,12,24,3.2 GHz,Up to 5 GHz,64 MB,55W,FP11,Radeon 8050S Graphics,32,,AMD
,Ryzen,Ryzen AI Max 300 Series,8,16,3.6 GHz,Up to 5 GHz,32 MB,55W,FP11,Radeon 8050S Graphics,32,,AMD
,Ryzen,Ryzen AI 300 Series,12,24,2 GHz,Up to 5.1 GHz,24 MB,28W,FP8,AMD Radeon™ 890M,16,,AMD
,Ryzen,Ryzen Z2,8,16,2 GHz,Up to 5 GHz,16 MB,28W,,AMD Radeon™ Graphics,16,,AMD
,Ryzen,Ryzen Z2,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,,AMD Radeon™ Graphics,12,,AMD
,Ryzen,Ryzen AI 300 Series,12,24,2 GHz,Up to 5.1 GHz,24 MB,28W,FP8,AMD Radeon™ 890M,16,,AMD
,Ryzen,Ryzen Z2,4,8,3 GHz,Up to 4.3 GHz,8 MB,28W,,AMD Radeon™ Graphics,12,,AMD
,Ryzen,Ryzen AI 300 Series,10,20,2 GHz,Up to 5 GHz,24 MB,28W,FP8,AMD Radeon™ 880M,12,,AMD
,Ryzen,Ryzen AI 300 Series,8,16,2 GHz,Up to 5 GHz,16 MB,28W,FP8,AMD Radeon™ 860M,8,,AMD
,Ryzen,Ryzen AI 300 Series,6,12,2 GHz,Up to 4.8 GHz,16 MB,28W,FP8,AMD Radeon™ 840M,4,,AMD
,Ryzen PRO,Ryzen PRO 200 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,FP8,AMD Radeon™ 780M,12,,AMD
,Ryzen PRO,Ryzen PRO 200 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,FP8,AMD Radeon™ 760M,8,,AMD
,Ryzen PRO,Ryzen PRO 200 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,28W,FP8,AMD Radeon™ 740M,4,,AMD
,Ryzen PRO,Ryzen PRO 200 Series,4,8,3 GHz,Up to 4.7 GHz,8 MB,28W,FP8,AMD Radeon™ 740M,4,,AMD
,Ryzen,Ryzen 200 Series,8,16,4 GHz,Up to 5.2 GHz,16 MB,45W,FP8,AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 200 Series,8,16,3.8 GHz,Up to 5.1 GHz,16 MB,45W,FP8,AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 200 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,FP8,AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 200 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,45W,FP8,AMD Radeon™ 760M,8,,AMD
,Ryzen,Ryzen 200 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,FP8,AMD Radeon™ 760M,8,,AMD
,Ryzen,Ryzen 200 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,28W,FP8,AMD Radeon™ 740M,4,,AMD
,Ryzen,Ryzen 200 Series,4,8,3 GHz,Up to 4.7 GHz,8 MB,28W,FP8,AMD Radeon™ 740M,4,,AMD
,Ryzen,Ryzen 9000 Series,16,32,2.5 GHz,Up to 5.4 GHz,128 MB,55W,FL1,AMD Radeon™ 610M,2,,AMD
,Ryzen,Ryzen 9000 Series,16,32,4.3 GHz,Up to 5.7 GHz,128 MB,170W,AM5,AMD Radeon™ Graphics,2,03/12/2025,AMD
,Ryzen,Ryzen 9000 Series,16,32,2.5 GHz,Up to 5.4 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,,AMD
,Ryzen,Ryzen 9000 Series,16,32,4.3 GHz,Up to 5.7 GHz,64 MB,170W,AM5,AMD Radeon™ Graphics,2,08/15/2024,AMD
,Ryzen,Ryzen 9000 Series,12,24,4.4 GHz,Up to 5.5 GHz,128 MB,120W,AM5,AMD Radeon™ Graphics,2,03/12/2025,AMD
,Ryzen,Ryzen 9000 Series,12,24,4.4 GHz,Up to 5.6 GHz,64 MB,120W,AM5,AMD Radeon™ Graphics,2,08/15/2024,AMD
,Ryzen,Ryzen 9000 Series,12,24,3 GHz,Up to 5.2 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,,AMD
,Ryzen,Ryzen 9000 Series,8,16,4.7 GHz,Up to 5.2 GHz,96 MB,120W,AM5,AMD Radeon™ Graphics,2,11/07/2024,AMD
,Ryzen,Ryzen 9000 Series,8,16,3.8 GHz,Up to 5.5 GHz,32 MB,65W,AM5,AMD Radeon™ Graphics,2,08/08/2024,AMD
,Ryzen,Ryzen 9000 Series,6,12,3.9 GHz,Up to 5.4 GHz,32 MB,65W,AM5,AMD Radeon™ Graphics,2,08/08/2024,AMD
,Ryzen,Ryzen 9000 Series,6,12,3.8 GHz,Up to 5.2 GHz,32 MB,65W,AM5,AMD Radeon™ Graphics,2,02/19/2025,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,8,16,4 GHz,Up to 5.2 GHz,16 MB,45W,"FP7 , FP7r2",AMD Radeon™ 780M,12,,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 780M,12,,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,8,16,3.8 GHz,Up to 5.1 GHz,16 MB,45W,"FP7 , FP7r2",AMD Radeon™ 780M,12,04/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 780M,12,,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,8,16,3.6 GHz,Up to 5.1 GHz,16 MB,35W,AM5,AMD Radeon™ 780M,12,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,8,16,4.2 GHz,Up to 5.1 GHz,16 MB,65W,AM5,AMD Radeon™ 780M,12,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 760M,8,,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,45W,"FP7 , FP7r2",AMD Radeon™ 760M,8,,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 760M,8,,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,3.9 GHz,Up to 5 GHz,16 MB,35W,AM5,AMD Radeon™ 760M,8,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,65W,AM5,AMD Radeon™ 760M,8,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 740M,4,,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,3.4 GHz,Up to 5 GHz,16 MB,35W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,6,12,3.5 GHz,Up to 5 GHz,16 MB,65W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,4,8,3.5 GHz,Up to 4.9 GHz,8 MB,35W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen PRO,Ryzen PRO 8000 Series,4,8,3.4 GHz,Up to 4.9 GHz,8 MB,65W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen,Ryzen 8000 Series,16,32,2.5 GHz,Up to 5.4 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,4/23/25,AMD
,Ryzen,Ryzen 8000 Series,8,16,4 GHz,Up to 5.2 GHz,16 MB,45W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 8000 Series,16,32,2.4 GHz,Up to 5.3 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,4/23/25,AMD
,Ryzen,Ryzen 8000 Series,8,16,3.8 GHz,Up to 5.1 GHz,16 MB,45W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,12/06/2023,AMD
,Ryzen,Ryzen 8000 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 8000 Series,12,24,2.9 GHz,Up to 5.1 GHz,64 MB,55W,FL1,AMD Radeon™ 610M,2,4/23/25,AMD
,Ryzen,Ryzen 8000 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 780M,12,,AMD
,Ryzen,Ryzen 8000 Series,8,16,3.6 GHz,Up to 5.1 GHz,32 MB,55W,FL1,AMD Radeon™ 610M,2,4/23/25,AMD
,Ryzen,Ryzen 8000 Series,8,16,4.2 GHz,Up to 5.1 GHz,16 MB,65W,AM5,AMD Radeon™ 780M,12,1/31/2024,AMD
,Ryzen,Ryzen 8000 Series,8,16,4.1 GHz,Up to 5 GHz,16 MB,65W,AM5,Discrete Graphics Card Required,,04/01/2024,AMD
,Ryzen,Ryzen 8000 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,45W,"FP7 , FP7r2 , FP8",AMD Radeon™ 760M,8,,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 760M,8,,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.5 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2 , FP8",AMD Radeon™ 760M,8,,AMD
,Ryzen,Ryzen 8000 Series,6,12,4.3 GHz,Up to 5 GHz,16 MB,65W,AM5,AMD Radeon™ 760M,8,1/31/2024,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.2 GHz,Up to 4.9 GHz,16 MB,28W,"FP7 , FP7r2",AMD Radeon™ 740M,4,,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.4 GHz,Up to 5 GHz,16 MB,35W,AM5,AMD Radeon™ 740M,4,4/16/2024,AMD
,Ryzen,Ryzen 8000 Series,6,12,3.5 GHz,Up to 5 GHz,16 MB,65W,AM5,AMD Radeon™ 740M,4,1/31/2024,AMD
,Ryzen,Ryzen 8000 Series,4,8,3 GHz,Up to 4.7 GHz,8 MB,28W,"FP7 , FP7r2",AMD Radeon™ 740M,4,,AMD
